date,Job openings — total (level),Job openings — total (rate),Hires — total (level),Hires — total (rate),Separations — total (level),Separations — total (rate),Quits — total (level),Quits — total (rate),Layoffs & discharges — total (level),Layoffs & discharges — total (rate),Job openings — construction,Job openings — manufacturing,Job openings — retail trade,Job openings — professional & business,Job openings — education & health,Job openings — health care & social,Job openings — leisure & hospitality,"Job openings — arts, entertainment, recreation",Job openings — accommodation & food,Job openings — government,Job openings — state & local government,Quits rate — total private,Quits rate — construction,Quits rate — manufacturing,Quits rate — retail trade,Quits rate — information,Quits rate — financial activities,Quits rate — professional & business,Quits rate — private education & health,Quits rate — health care & social,Quits rate — leisure & hospitality,Quits rate — accommodation & food,Quits rate — government
2019-04-01,7272.0,4.6,6016.0,4.0,5777.0,3.8,3501.0,2.3,1963.0,1.3,405.0,451.0,754.0,1169.0,1399.0,1272.0,1024.0,119.0,905.0,735.0,572.0,2.6,1.9,1.8,3.2,1.8,1.6,3.1,1.9,2.0,4.6,4.9,0.8
2019-05-01,7275.0,4.6,5686.0,3.8,5556.0,3.7,3472.0,2.3,1775.0,1.2,357.0,471.0,753.0,1277.0,1363.0,1237.0,1018.0,134.0,884.0,674.0,562.0,2.5,2.2,1.6,3.4,1.8,1.4,2.9,1.7,1.7,4.6,4.9,0.9
2019-06-01,7194.0,4.6,5801.0,3.8,5574.0,3.7,3474.0,2.3,1780.0,1.2,302.0,465.0,818.0,1279.0,1303.0,1177.0,945.0,109.0,836.0,745.0,635.0,2.6,2.4,1.6,3.4,1.5,1.5,3.0,1.8,1.8,4.8,5.1,0.7
2019-07-01,7042.0,4.5,5871.0,3.9,5839.0,3.9,3654.0,2.4,1833.0,1.2,323.0,452.0,832.0,1252.0,1294.0,1178.0,959.0,114.0,845.0,649.0,533.0,2.7,2.3,1.5,3.4,1.5,1.5,3.3,2.0,2.1,4.8,5.1,0.8
2019-08-01,7178.0,4.5,5900.0,3.9,5657.0,3.7,3540.0,2.3,1808.0,1.2,328.0,439.0,798.0,1282.0,1327.0,1207.0,961.0,128.0,833.0,747.0,634.0,2.6,2.3,1.6,3.5,1.7,1.6,3.0,2.0,2.0,4.8,5.0,0.8
2019-09-01,7124.0,4.5,5963.0,3.9,5755.0,3.8,3447.0,2.3,1970.0,1.3,332.0,444.0,732.0,1241.0,1236.0,1112.0,1025.0,144.0,881.0,740.0,626.0,2.5,2.5,1.7,3.3,1.4,1.5,3.0,1.9,2.0,4.4,4.5,0.8
2019-10-01,7289.0,4.6,5781.0,3.8,5631.0,3.7,3452.0,2.3,1819.0,1.2,326.0,399.0,822.0,1205.0,1301.0,1174.0,993.0,136.0,857.0,785.0,657.0,2.5,2.5,1.5,3.0,1.5,1.5,2.9,1.9,2.0,4.6,4.8,0.8
2019-11-01,6888.0,4.3,5847.0,3.9,5675.0,3.7,3541.0,2.3,1782.0,1.2,242.0,414.0,741.0,1202.0,1292.0,1160.0,973.0,119.0,854.0,764.0,648.0,2.6,2.2,1.6,3.9,1.4,1.8,2.9,1.8,1.9,4.5,4.6,0.8
2019-12-01,6699.0,4.2,5951.0,3.9,5771.0,3.8,3487.0,2.3,1931.0,1.3,257.0,380.0,727.0,1237.0,1241.0,1134.0,926.0,137.0,789.0,748.0,655.0,2.5,2.3,1.6,3.1,1.4,1.5,3.0,2.0,2.1,4.5,4.7,0.9
2020-01-01,7124.0,4.5,5981.0,3.9,5741.0,3.8,3563.0,2.3,1808.0,1.2,299.0,407.0,758.0,1293.0,1320.0,1202.0,913.0,162.0,751.0,820.0,672.0,2.6,2.1,1.5,3.8,1.4,1.5,3.2,2.0,2.1,4.4,4.6,0.8
2020-02-01,6966.0,4.4,5990.0,3.9,5764.0,3.8,3497.0,2.3,1954.0,1.3,291.0,392.0,744.0,1288.0,1282.0,1157.0,940.0,139.0,801.0,771.0,658.0,2.6,2.0,1.5,3.4,1.6,1.5,3.0,2.1,2.2,4.2,4.3,0.8
2020-03-01,5894.0,3.8,5171.0,3.4,16275.0,10.8,2933.0,1.9,12985.0,8.6,226.0,295.0,595.0,1095.0,1157.0,1050.0,653.0,108.0,544.0,713.0,589.0,2.1,1.6,1.2,2.6,1.4,1.3,2.9,1.9,2.0,3.2,3.4,1.0
2020-04-01,4606.0,3.4,4029.0,3.1,11531.0,8.8,1991.0,1.5,9170.0,7.0,211.0,298.0,453.0,817.0,952.0,855.0,321.0,50.0,270.0,651.0,543.0,1.7,1.4,0.8,2.1,1.3,0.7,1.9,1.7,1.8,3.8,3.9,0.8
2020-05-01,5612.0,4.0,8133.0,6.1,4718.0,3.5,2259.0,1.7,2139.0,1.6,283.0,314.0,646.0,1001.0,1007.0,925.0,710.0,102.0,608.0,621.0,544.0,1.9,1.5,1.3,2.5,1.0,1.2,2.2,1.6,1.7,3.5,3.6,0.9
2020-06-01,6129.0,4.3,7477.0,5.4,5176.0,3.8,2594.0,1.9,2245.0,1.6,228.0,338.0,622.0,1079.0,1127.0,1039.0,876.0,127.0,749.0,665.0,545.0,2.1,1.9,1.5,2.9,1.1,1.1,2.0,1.9,2.1,3.7,4.0,0.8
2020-07-01,6530.0,4.5,6320.0,4.5,5191.0,3.7,3020.0,2.2,1827.0,1.3,306.0,392.0,773.0,1149.0,1178.0,1090.0,781.0,83.0,699.0,818.0,529.0,2.4,2.0,1.6,3.4,1.3,1.1,2.6,2.0,2.2,4.1,4.3,0.9
2020-08-01,6429.0,4.4,6004.0,4.3,4813.0,3.4,2931.0,2.1,1560.0,1.1,254.0,458.0,731.0,1152.0,1237.0,1129.0,763.0,80.0,683.0,707.0,593.0,2.3,1.4,1.8,3.3,1.3,1.5,2.7,1.8,2.0,3.6,4.1,1.0
2020-09-01,6511.0,4.4,5966.0,4.2,5123.0,3.6,3185.0,2.2,1567.0,1.1,227.0,469.0,694.0,1262.0,1220.0,1110.0,801.0,89.0,711.0,708.0,606.0,2.5,2.1,2.0,3.2,1.3,1.4,3.2,2.0,2.1,4.0,4.4,0.9
2020-10-01,6798.0,4.6,6091.0,4.3,5356.0,3.8,3311.0,2.3,1697.0,1.2,242.0,519.0,711.0,1259.0,1314.0,1194.0,821.0,101.0,720.0,732.0,631.0,2.6,1.8,2.0,3.4,1.4,1.5,3.0,2.1,2.3,4.3,4.5,1.0
2020-11-01,6820.0,4.6,5894.0,4.1,5631.0,3.9,3209.0,2.2,2097.0,1.5,260.0,490.0,755.0,1343.0,1315.0,1210.0,845.0,115.0,729.0,676.0,576.0,2.5,2.1,2.1,3.6,1.4,1.4,2.7,1.8,1.9,4.6,4.8,0.8
2020-12-01,6773.0,4.5,5577.0,3.9,5601.0,3.9,3369.0,2.4,1906.0,1.3,253.0,502.0,740.0,1448.0,1241.0,1155.0,799.0,99.0,700.0,664.0,563.0,2.6,2.1,2.1,3.6,1.2,1.3,2.8,2.1,2.1,5.1,5.4,0.8
2021-01-01,7162.0,4.8,5598.0,3.9,5145.0,3.6,3292.0,2.3,1567.0,1.1,309.0,522.0,777.0,1436.0,1372.0,1213.0,741.0,79.0,662.0,725.0,623.0,2.6,1.8,2.1,3.6,1.3,1.5,2.9,2.0,2.2,5.0,5.2,0.7
2021-02-01,7827.0,5.2,5813.0,4.1,5329.0,3.7,3373.0,2.4,1628.0,1.1,249.0,599.0,828.0,1474.0,1595.0,1491.0,960.0,135.0,825.0,714.0,610.0,2.6,2.3,2.2,3.5,1.5,1.4,3.1,2.0,2.1,4.4,4.7,0.8
2021-03-01,8499.0,5.6,6158.0,4.3,5488.0,3.8,3654.0,2.5,1500.0,1.0,348.0,739.0,999.0,1564.0,1454.0,1324.0,1101.0,156.0,945.0,853.0,718.0,2.8,2.4,2.2,3.8,2.1,1.4,3.0,2.2,2.4,5.5,5.8,0.8
2021-04-01,9346.0,6.1,6138.0,4.2,5699.0,3.9,3943.0,2.7,1402.0,1.0,319.0,848.0,941.0,1729.0,1582.0,1441.0,1308.0,170.0,1138.0,948.0,795.0,3.1,2.5,2.4,4.2,2.0,1.5,3.4,2.2,2.3,5.8,6.1,0.9
2021-05-01,9954.0,6.4,5981.0,4.1,5515.0,3.8,3817.0,2.6,1351.0,0.9,301.0,887.0,940.0,1876.0,1754.0,1585.0,1432.0,175.0,1257.0,931.0,802.0,3.0,2.2,2.1,4.2,1.8,1.4,3.3,2.2,2.4,5.7,6.0,0.7
2021-06-01,10319.0,6.6,6535.0,4.5,5741.0,3.9,4017.0,2.8,1335.0,0.9,328.0,893.0,1103.0,1925.0,1797.0,1604.0,1576.0,209.0,1367.0,941.0,803.0,3.1,2.3,2.4,4.4,1.8,1.5,3.5,2.3,2.5,5.8,6.1,0.8
2021-07-01,10983.0,7.0,6720.0,4.6,5818.0,4.0,4059.0,2.8,1410.0,1.0,376.0,903.0,1015.0,2078.0,1864.0,1684.0,1787.0,225.0,1562.0,906.0,786.0,3.1,2.2,2.4,4.5,1.7,1.5,3.2,2.5,2.7,5.6,6.0,1.0
2021-08-01,10872.0,6.9,6394.0,4.3,5875.0,4.0,4171.0,2.8,1332.0,0.9,392.0,843.0,1104.0,2056.0,1794.0,1625.0,1736.0,202.0,1534.0,894.0,774.0,3.2,2.5,2.4,4.8,1.8,1.4,3.4,2.5,2.7,5.6,5.9,0.8
2021-09-01,10834.0,6.8,6632.0,4.5,6118.0,4.1,4354.0,2.9,1411.0,1.0,359.0,930.0,1047.0,1957.0,1919.0,1781.0,1573.0,180.0,1392.0,957.0,820.0,3.3,2.6,2.7,4.4,1.8,1.7,3.5,2.8,2.9,5.7,6.0,1.0
